Classification;Year;Period;Period Desc.;Aggregate Level;Is Leaf Code;Trade Flow Code;Trade Flow;Reporter Code;Reporter;Reporter ISO;Partner Code;Partner;Partner ISO;2nd Partner Code;2nd Partner;2nd Partner ISO;Customs Proc. Code;Customs;Mode of Transport Code;Mode of Transport;Commodity Code;Commodity;Qty Unit Code;Qty Unit;Qty;Alt Qty Unit Code;Alt Qty Unit;Alt Qty;Netweight (kg);Gross weight (kg);Trade Value (US$);CIF Trade Value (US$);FOB Trade Value (US$);Flag
S3;2000;2000;2000;5;1;1;Import;40;Austria;AUT;705;Slovenia;SVN;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;5375700;;;;5375700;;613906;;;2
S3;2000;2000;2000;5;1;2;Export;40;Austria;AUT;705;Slovenia;SVN;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;3700;;;;3700;;6557;;;2
S3;2000;2000;2000;5;1;2;Export;40;Austria;AUT;842;USA;USA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;134800;;;;134800;;43493;;;2
S3;2001;2001;2001;5;1;1;Import;40;Austria;AUT;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;59092946;;;;128953809;;7463960;;;6
S3;2001;2001;2001;5;1;2;Export;40;Austria;AUT;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;34368098;;;;34368098;;5264084;;;6
S3;2001;2001;2001;5;1;2;Export;40;Austria;AUT;156;China;CHN;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;32900;;;;32900;;13741;;;2
S3;2001;2001;2001;5;1;1;Import;40;Austria;AUT;381;Italy;ITA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;45828809;;;;45823500;;4583311;;;2
S3;2001;2001;2001;5;1;2;Export;40;Austria;AUT;381;Italy;ITA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;10814;;;;10814;;18023;;;6
S3;2001;2001;2001;5;1;1;Import;40;Austria;AUT;705;Slovenia;SVN;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;5262200;;;;5262200;;682073;;;2
S3;2001;2001;2001;5;1;2;Export;40;Austria;AUT;705;Slovenia;SVN;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;34500;;;;34500;;7464;;;2
S3;2001;2001;2001;5;1;1;Import;40;Austria;AUT;842;USA;USA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;1540;;;;1540;;601;;;6
S3;2001;2001;2001;5;1;2;Export;40;Austria;AUT;842;USA;USA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;108900;;;;108900;;30419;;;2
S3;2002;2002;2002;5;1;1;Import;40;Austria;AUT;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;80650918;;;;170739249;;11432209;;;6
S3;2002;2002;2002;5;1;2;Export;40;Austria;AUT;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;53358709;;;;53358709;;7957738;;;6
S3;2002;2002;2002;5;1;2;Export;40;Austria;AUT;156;China;CHN;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;18100;;;;18100;;3649;;;2
S3;2002;2002;2002;5;1;1;Import;40;Austria;AUT;381;Italy;ITA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;59453541;;;;59443600;;6954035;;;2
S3;2002;2002;2002;5;1;2;Export;40;Austria;AUT;381;Italy;ITA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;10300;;;;10300;;22440;;;2
S3;2002;2002;2002;5;1;1;Import;40;Austria;AUT;705;Slovenia;SVN;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;5219002;;;;5219002;;807441;;;6
S3;2002;2002;2002;5;1;2;Export;40;Austria;AUT;705;Slovenia;SVN;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;115100;;;;115100;;16662;;;2
S3;2002;2002;2002;5;1;1;Import;40;Austria;AUT;842;USA;USA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;8849;;;;8849;;3088;;;6
S3;2002;2002;2002;5;1;2;Export;40;Austria;AUT;842;USA;USA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;232700;;;;232700;;66680;;;2
S3;2003;2003;2003;5;1;1;Import;40;Austria;AUT;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;72510497;;;;173034930;;12507127;;;6
S3;2003;2003;2003;5;1;2;Export;40;Austria;AUT;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;22925999;;;;22925999;;4797222;;;6
S3;2003;2003;2003;5;1;2;Export;40;Austria;AUT;156;China;CHN;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;36300;;;;36300;;7026;;;2
S3;2003;2003;2003;5;1;1;Import;40;Austria;AUT;381;Italy;ITA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;50822848;;;;50817920;;7370810;;;6
S3;2003;2003;2003;5;1;2;Export;40;Austria;AUT;381;Italy;ITA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;15300;;;;15300;;27394;;;2
S3;2003;2003;2003;5;1;1;Import;40;Austria;AUT;705;Slovenia;SVN;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;5401500;;;;5401500;;1018532;;;2
S3;2003;2003;2003;5;1;2;Export;40;Austria;AUT;705;Slovenia;SVN;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;913300;;;;913300;;206260;;;2
S3;2003;2003;2003;5;1;1;Import;40;Austria;AUT;842;USA;USA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;17610;;;;17610;;10210;;;6
S3;2003;2003;2003;5;1;2;Export;40;Austria;AUT;842;USA;USA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;132774;;;;132774;;31740;;;6
S3;2004;2004;2004;5;1;1;Import;40;Austria;AUT;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;169470523;;;;169492119;;17554938;;;6
S3;2004;2004;2004;5;1;2;Export;40;Austria;AUT;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;13489203;;;;13654454;;3940120;;;6
S3;2004;2004;2004;5;1;1;Import;40;Austria;AUT;156;China;CHN;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;6548;;;;6548;;65;;;6
S3;2004;2004;2004;5;1;1;Import;40;Austria;AUT;381;Italy;ITA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;46435965;;;;46436400;;9621230;;;2
S3;2004;2004;2004;5;1;2;Export;40;Austria;AUT;381;Italy;ITA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;39898;;;;39900;;36302;;;2
