Classification;Year;Period;Period Desc.;Aggregate Level;Is Leaf Code;Trade Flow Code;Trade Flow;Reporter Code;Reporter;Reporter ISO;Partner Code;Partner;Partner ISO;2nd Partner Code;2nd Partner;2nd Partner ISO;Customs Proc. Code;Customs;Mode of Transport Code;Mode of Transport;Commodity Code;Commodity;Qty Unit Code;Qty Unit;Qty;Alt Qty Unit Code;Alt Qty Unit;Alt Qty;Netweight (kg);Gross weight (kg);Trade Value (US$);CIF Trade Value (US$);FOB Trade Value (US$);Flag
S3;2016;2016;2016;5;1;1;Import;174;Comoros;COM;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;4011378;;;;4011378;;1342064;;;2
S3;2016;2016;2016;5;1;1;Import;178;Congo;COG;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;229282;;;;229282;;224247;;;2
S3;2016;2016;2016;5;1;2;Export;178;Congo;COG;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;7595;;;;7595;;11162;;;2
S3;2016;2016;2016;5;1;1;Import;180;Dem. Rep. of the Congo;COD;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;1;No Quantity;0;;;;821633;;362225;;;2
S3;2016;2016;2016;5;1;2;Export;180;Dem. Rep. of the Congo;COD;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;4634;;;;8967;;5444;;;0
S3;2016;2016;2016;5;1;1;Import;188;Costa Rica;CRI;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;1;No Quantity;0;;;;7339232;;2668451;;;6
S3;2016;2016;2016;5;1;2;Export;188;Costa Rica;CRI;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;4100898;;;;4101743;;784363;;;6
S3;2016;2016;2016;5;1;1;Import;191;Croatia;HRV;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;59250898;;;;59282406;;10472137;;;2
S3;2016;2016;2016;5;1;2;Export;191;Croatia;HRV;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;684120869;;;;684124757;;14111551;;;2
S3;2016;2016;2016;5;1;1;Import;196;Cyprus;CYP;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;28183958;;;;28268578;;7821336;;;2
S3;2016;2016;2016;5;1;2;Export;196;Cyprus;CYP;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;89674;;;;91064;;21462;;;0
S3;2016;2016;2016;5;1;1;Import;203;Czechia;CZE;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;80986798;;;;80986798;;16468907;;;0
S3;2016;2016;2016;5;1;2;Export;203;Czechia;CZE;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;5512471580;;;;5390874254;;23157680;;;2
S3;2016;2016;2016;5;1;1;Import;204;Benin;BEN;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;2046838;;;;2046838;;502582;;;2
S3;2016;2016;2016;5;1;2;Export;204;Benin;BEN;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;320132;;;;320132;;119850;;;2
S3;2016;2016;2016;5;1;1;Import;208;Denmark;DNK;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;31422198;;;;31647555;;11629980;;;2
S3;2016;2016;2016;5;1;2;Export;208;Denmark;DNK;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;74227904;;;;77582257;;12511238;;;6
S3;2016;2016;2016;5;1;1;Import;214;Dominican Rep.;DOM;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;3222672;;;;3222672;;1559982;;;6
S3;2016;2016;2016;5;1;2;Export;214;Dominican Rep.;DOM;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;6996652;;;;6996652;;380203;;;2
S3;2016;2016;2016;5;1;1;Import;218;Ecuador;ECU;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;95437;;;;95962;;69733;;;0
S3;2016;2016;2016;5;1;2;Export;218;Ecuador;ECU;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;1144900;;;;1130493;;549481;;;0
S3;2016;2016;2016;5;1;1;Import;222;El Salvador;SLV;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;20992061;;;;20992061;;4153215;;;2
S3;2016;2016;2016;5;1;2;Export;222;El Salvador;SLV;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;148373;;;;148373;;24772;;;2
S3;2016;2016;2016;5;1;1;Import;231;Ethiopia;ETH;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;3761;;;;3761;;9492;;;2
S3;2016;2016;2016;5;1;2;Export;231;Ethiopia;ETH;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;235373;;;;235373;;100093;;;2
S3;2016;2016;2016;5;1;1;Import;233;Estonia;EST;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;19163994;;;;19204637;;6910954;;;2
S3;2016;2016;2016;5;1;2;Export;233;Estonia;EST;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;9342799;;;;9344622;;2030575;;;2
S3;2016;2016;2016;5;1;1;Import;242;Fiji;FJI;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;170973;;;;170973;;245080;;;4
S3;2016;2016;2016;5;1;2;Export;242;Fiji;FJI;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;327993552;;;;327993552;;102519729;;;6
S3;2016;2016;2016;5;1;1;Import;246;Finland;FIN;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;20303342;;;;20301467;;5591174;;;2
S3;2016;2016;2016;5;1;2;Export;246;Finland;FIN;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;3317309;;;;3349364;;1211183;;;2
S3;2016;2016;2016;5;1;1;Import;251;France;FRA;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;4897380105;;;;4897504244;;119716232;;;6
S3;2016;2016;2016;5;1;2;Export;251;France;FRA;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;4035166569;;;;4044869074;;906530790;;;6
S3;2016;2016;2016;5;1;1;Import;258;French Polynesia;PYF;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;6070617;;;;6090170;;4541496;;;0
S3;2016;2016;2016;5;1;2;Export;258;French Polynesia;PYF;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;109519;;;;109666;;57202;;;6
S3;2016;2016;2016;5;1;1;Import;268;Georgia;GEO;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;460576;;;;460576;;135850;;;0
S3;2016;2016;2016;5;1;2;Export;268;Georgia;GEO;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;117174829;;;;117174829;;79825307;;;0
S3;2016;2016;2016;5;1;1;Import;270;Gambia;GMB;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;205367;;;;259460;;62459;;;2
S3;2016;2016;2016;5;1;1;Import;275;State of Palestine;PSE;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;1;No Quantity;;;;;9142526;;63784664;;;4
S3;2016;2016;2016;5;1;2;Export;275;State of Palestine;PSE;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;2470381;;;;2327625;;1130149;;;6
S3;2016;2016;2016;5;1;1;Import;276;Germany;DEU;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;1;No Quantity;0;;;;1354316632;;228059819;;;6
S3;2016;2016;2016;5;1;2;Export;276;Germany;DEU;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;1;No Quantity;0;;;;4911916414;;115165039;;;6
S3;2016;2016;2016;5;1;1;Import;288;Ghana;GHA;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;814435;;;;814435;;434753;;;2
S3;2016;2016;2016;5;1;2;Export;288;Ghana;GHA;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;937703;;;;937703;;231596;;;2
S3;2016;2016;2016;5;1;1;Import;296;Kiribati;KIR;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;293972;;;;293972;;278294;;;0
S3;2016;2016;2016;5;1;1;Import;300;Greece;GRC;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;8190723;;;;8712863;;5818872;;;2
S3;2016;2016;2016;5;1;2;Export;300;Greece;GRC;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;50017869;;;;57083948;;11822908;;;2
S3;2016;2016;2016;5;1;1;Import;304;Greenland;GRL;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;402878;;;;402878;;281989;;;2
S3;2016;2016;2016;5;1;2;Export;304;Greenland;GRL;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;1326;;;;1326;;410;;;2
S3;2016;2016;2016;5;1;1;Import;308;Grenada;GRD;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;366504;;;;366504;;203880;;;2
S3;2016;2016;2016;5;1;2;Export;308;Grenada;GRD;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;9;;;;9;;5;;;2
S3;2016;2016;2016;5;1;1;Import;320;Guatemala;GTM;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;4721942;;;;4721942;;1673680;;;2
S3;2016;2016;2016;5;1;2;Export;320;Guatemala;GTM;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;22192702;;;;22192702;;3744398;;;2
S3;2016;2016;2016;5;1;1;Import;324;Guinea;GIN;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;561466;;;;561466;;247427;;;2
S3;2016;2016;2016;5;1;2;Export;324;Guinea;GIN;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;58;;;;58;;4;;;2
S3;2016;2016;2016;5;1;1;Import;328;Guyana;GUY;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;4232951;;;;4232951;;1629565;;;2
S3;2016;2016;2016;5;1;2;Export;328;Guyana;GUY;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;963422;;;;476785;;740907;;;2
